"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","3","493-2226-1-ND","UWT1H101MNL1GS","CAP ALUM 100UF 20% 50V SMD","ARM_CONTROL","3","0","0.71000","2.13"
"2","1","MCP2562T-E/SNCT-ND","MCP2562T-E/SN","IC TXRX CAN 8SOIC","ARM_CONTROL","1","0","1.40000","1.40"
"3","2","AP2112K-3.3TRG1DICT-ND","AP2112K-3.3TRG1","IC REG LINEAR 3.3V 600MA SOT25","ARM_CONTROL","2","0","0.72000","1.44"
"4","2","497-13073-1-ND","VNH5019ATR-E","IC MTR DRV 5.5-24V MULTIPWRSO-30","ARM_CONTROL","2","0","12.50000","25.00"
"5","2","455-1566-1-ND","SM04B-GHS-TB(LF)(SN)-","CONN HEADER SMD R/A 4POS 1.25MM","ARM_CONTROL","2","0","0.64000","1.28"
"6","6","1276-1007-1-ND","CL21F104ZBCNNNC","CAP CER 0.1UF 50V Y5V 0805","ARM_CONTROL","6","0","0.14000","0.84"
"7","9","311-1.0KARCT-ND","RC0805JR-071KL","RES SMD 1K OHM 5% 1/8W 0805","ARM_CONTROL","9","0","0.15000","1.35"
"8","1","644-1132-1-ND","NX5032GA-8.000M-STD-CSU-1","CRYSTAL 8.0000MHZ 8PF SMD","ARM_CONTROL","1","0","1.04000","1.04"
"9","2","732-7816-1-ND","885012007012","CAP CER 22PF 16V C0G/NP0 0805","ARM_CONTROL","2","0","0.14000","0.28"
"10","1","160-1423-1-ND","LTST-C171GKT","LED GREEN CLEAR CHIP SMD","ARM_CONTROL","1","0","0.40000","0.40"
"11","2","1276-2405-1-ND","CL21A106KQCLRNC","CAP CER 10UF 6.3V X5R 0805","ARM_CONTROL","2","0","0.18000","0.36"
"12","1","CT3116CT-ND","219-4LPSTR","SWITCH SLIDE DIP SPST 100MA 20V","ARM_CONTROL","1","0","1.29000","1.29"
"13","4","277-1667-ND","1935161","TERM BLK 2POS SIDE ENTRY 5MM PCB","ARM_CONTROL","4","0","0.61000","2.44"
"14","1","732-1593-1-ND","742792651","FERRITE BEAD 600 OHM 0603 1LN","ARM_CONTROL","1","0","0.24000","0.24"
"15","2","1276-1796-1-ND","CL21B333KBANNNC","CAP CER 0.033UF 50V X7R 0805","ARM_CONTROL","2","0","0.14000","0.28"
"16","2","A33899-ND","5-103669-4","CONN HEADER VERT 5POS 2.54MM","ARM_CONTROL","2","0","1.84000","3.68"
"17","4","A34194-ND","5-103958-4","CONN RCPT 5POS IDC 22-26AWG GOLD","ARM_CONTROL","4","0","2.81000","11.24"
"18","1","SAM9433-ND","FTSH-105-01-F-DV-007","CONN HEADER SMD 10POS 1.27MM","ARM_CONTROL","1","0","2.55000","2.55"
"19","2","IRLR8726TRPBFCT-ND","IRLR8726TRPBF","MOSFET N-CH 30V 86A DPAK","ARM_CONTROL","2","0","0.75000","1.50"
"20","1","497-17421-ND","STM32F303CBT6","IC MCU 32BIT 128KB FLASH 48LQFP","ARM_CONTROL","1","0","7.78000","7.78"
"21","7","311-10.0KCRCT-ND","RC0805FR-0710KL","RES SMD 10K OHM 1% 1/8W 0805","ARM_CONTROL","7","0","0.15000","1.05"
"22","1","CKN10361CT-ND","RS-187R05A2-DS MT RT","SWITCH TACTILE SPST-NO 0.05A 12V","ARM_CONTROL","1","0","0.80000","0.80"